model,dataset,layer,tensor_type,group_index,lower_threshold,upper_threshold,width,abs_max,baseline_dataset,absmax_abs_diff_from_baseline,absmax_rel_diff_from_baseline,width_abs_diff_from_baseline,width_rel_diff_from_baseline
OPT-350M,winogrande,14,value,1,-0.010559255152870184,0.018767542790124617,0.029326797942994802,0.018767542790124617,wikitext,-0.046484666595956944,-0.7123845619,-0.09385751437692985,-0.7619274939
OPT-350M,winogrande,14,value,2,0.002431679425883124,0.002452402366082689,2.0722940199565266e-05,0.002452402366082689,wikitext,-0.0010273865460208422,-0.2952439277,1.9789979554038235e-05,21.21201966
OPT-350M,winogrande,15,value,0,-1.6369769571329913,1.63524735472573,3.2722243118587215,1.6369769571329913,wikitext,-0.16147716520743427,-0.08978664688,-0.30587991021574634,-0.08548658486
OPT-350M,winogrande,15,value,1,-0.013855448649827193,0.016466645057876938,0.030322093707704133,0.016466645057876938,wikitext,-0.0438068703593438,-0.7268013166,-0.08750605899619657,-0.742658329
OPT-350M,winogrande,15,value,2,0.0007552086083834436,0.0007766418411869089,2.1433232803465263e-05,0.0007766418411869089,wikitext,-0.000510084207465253,-0.3964202077,2.052690402049766e-05,22.64840796
OPT-350M,winogrande,16,value,0,-1.6389454974842146,1.602075831195738,3.2410213286799525,1.6389454974842146,wikitext,-0.1867415592533741,-0.1022856346,-0.36958649490160767,-0.1023612956
OPT-350M,winogrande,16,value,1,-0.018480049500619697,0.014117681236839144,0.03259773073745884,0.018480049500619697,wikitext,-0.04988733365817906,-0.7296949416,-0.08746513114474416,-0.7284944718
OPT-350M,winogrande,16,value,2,-0.001603390959744954,-0.0015802956182559644,2.3095341488989533e-05,0.001603390959744954,wikitext,-0.006377788071329515,-0.7991034967,2.208502162364778e-05,21.8594352
OPT-350M,winogrande,17,value,0,-1.6176306913476717,1.6090481945540647,3.2266788859017366,1.6176306913476717,wikitext,-0.17866252673743466,-0.09946178326,-0.3524018986727313,-0.09846156594
OPT-350M,winogrande,17,value,1,-0.015438724147492538,0.01753459620306411,0.03297332035055665,0.01753459620306411,wikitext,-0.0439182829248171,-0.7146659937,-0.08476501111276338,-0.7199440493
OPT-350M,winogrande,17,value,2,0.0008659133218646332,0.0008888332130594712,2.291989119483802e-05,0.0008888332130594712,wikitext,-0.0016344279687921794,-0.6477442686,2.2139958077032544e-05,28.38699572
OPT-350M,winogrande,18,value,0,-1.5515666621448303,1.562853011543015,3.1144196736878453,1.562853011543015,wikitext,-0.19468937542507003,-0.1107736444,-0.39367679129442434,-0.1122194886
OPT-350M,winogrande,18,value,1,-0.015470244325609214,0.022099013957059,0.037569258282668216,0.022099013957059,wikitext,-0.042196545107657316,-0.6562901967,-0.08039395093718994,-0.6815171567
OPT-350M,winogrande,18,value,2,0.0023180890384394068,0.0023430190692290418,2.4930030789634995e-05,0.0023430190692290418,wikitext,-0.002832516913998627,-0.5472895799,2.3862642647380986e-05,22.35610618
OPT-350M,winogrande,19,value,0,-1.494402685970797,1.475136580011839,2.969539265982636,1.494402685970797,wikitext,-0.17108656491572782,-0.1027245086,-0.33192072958473995,-0.1005375591
