model,gpu,layer,tensor_type,group_index,lower_threshold,upper_threshold,width,abs_max
OPT-1.3B,RTX 5060,22,key,0,-5.563497340425532,5.4908577127659575,11.05435505319149,5.563497340425532
OPT-1.3B,RTX 5060,22,key,1,-0.258051446143617,0.5484368074024822,0.8064882535460993,0.5484368074024822
OPT-1.3B,RTX 5060,22,key,2,0.1502218043550532,0.15022440159574468,2.59724069148759e-06,0.15022440159574468
OPT-1.3B,RTX 5060,23,key,0,-14.940214982269504,14.97512189716312,29.915336879432623,14.97512189716312
OPT-1.3B,RTX 5060,23,key,1,-6.734679742907802,3.7552775930851063,10.489957335992909,6.734679742907802
OPT-1.3B,RTX 5060,23,key,2,-4.508117242907802,-4.508034131205674,8.311170212760288e-05,4.508117242907802
OPT-1.3B,RTX 5060,0,value,0,-0.4981940519725177,0.49943553302304966,0.9976295849955674,0.49943553302304966
OPT-1.3B,RTX 5060,0,value,1,-0.014171302741300976,0.013643251243212544,0.027814553984513518,0.014171302741300976
OPT-1.3B,RTX 5060,0,value,2,-0.00027838624115531326,-0.00027826111367408265,1.2512748123061227e-07,0.00027838624115531326
OPT-1.3B,RTX 5060,1,value,0,-0.30878248282358156,0.31002050088652483,0.6188029837101063,0.31002050088652483
OPT-1.3B,RTX 5060,1,value,1,-0.006410260572501108,0.006718141812804743,0.01312840238530585,0.006718141812804743
OPT-1.3B,RTX 5060,1,value,2,0.0001520129805761026,0.0001520793488685121,6.636829240949096e-08,0.0001520793488685121
OPT-1.3B,RTX 5060,2,value,0,-0.4581584524601064,0.44664055574024825,0.9047990082003546,0.4581584524601064
OPT-1.3B,RTX 5060,2,value,1,-0.009101975894143395,0.008952580445201684,0.01805455633934508,0.009101975894143395
OPT-1.3B,RTX 5060,2,value,2,-7.179992418762639e-05,-7.173566953510257e-05,6.425465252381767e-08,7.179992418762639e-05
OPT-1.3B,RTX 5060,3,value,0,-0.5547706117021277,0.5630748559397163,1.117845467641844,0.5630748559397163
OPT-1.3B,RTX 5060,3,value,1,-0.011660149756898271,0.013387693581006206,0.025047843337904475,0.013387693581006206
OPT-1.3B,RTX 5060,3,value,2,0.0008656369878890667,0.0008657629608262515,1.2597293718482738e-07,0.0008657629608262515
OPT-1.3B,RTX 5060,4,value,0,-0.6424153645833334,0.6362824135638298,1.2786977781471631,0.6424153645833334
OPT-1.3B,RTX 5060,4,value,1,-0.014496877683815381,0.015688253632673982,0.030185131316489363,0.015688253632673982
OPT-1.3B,RTX 5060,4,value,2,0.0005971108768003207,0.0005972161360666262,1.0525926630550013e-07,0.0005972161360666262
OPT-1.3B,RTX 5060,5,value,0,-0.7171604886968085,0.7296895777925532,1.4468500664893615,0.7296895777925532
OPT-1.3B,RTX 5060,5,value,1,-0.01766708049368351,0.017279117665392286,0.03494619815907579,0.01766708049368351
OPT-1.3B,RTX 5060,5,value,2,-0.0001961639586915361,-0.0001960041675161808,1.5979117535530195e-07,0.0001961639586915361
OPT-1.3B,RTX 5060,6,value,0,-0.7972628546099291,0.7837225731382979,1.580985427748227,0.7972628546099291
OPT-1.3B,RTX 5060,6,value,1,-0.021118596935948582,0.018535532849900265,0.03965412978584885,0.021118596935948582
OPT-1.3B,RTX 5060,6,value,2,-0.0012786502533770623,-0.0012785090622327007,1.4119114436156668e-07,0.0012786502533770623
OPT-1.3B,RTX 5060,7,value,0,-0.8268125277039007,0.8366785793439716,1.6634911070478724,0.8366785793439716
OPT-1.3B,RTX 5060,7,value,1,-0.021714122582834665,0.022010532676750887,0.04372465525958555,0.022010532676750887
OPT-1.3B,RTX 5060,7,value,2,0.00014794168742835945,0.00014812007863470848,1.7839120634903722e-07,0.00014812007863470848
OPT-1.3B,RTX 5060,8,value,0,-0.8737186945921985,0.8740788453014184,1.747797539893617,0.8740788453014184
OPT-1.3B,RTX 5060,8,value,1,-0.025374500464040335,0.021954042691710994,0.04732854315575133,0.025374500464040335
OPT-1.3B,RTX 5060,8,value,2,-0.0016992278132878296,-0.001699076899399994,1.5091388783560963e-07,0.0016992278132878296
OPT-1.3B,RTX 5060,9,value,0,-0.9207772329343972,0.9116522606382979,1.832429493572695,0.9207772329343972
OPT-1.3B,RTX 5060,9,value,1,-0.026517827460106384,0.024285499085771278,0.05080332654587766,0.026517827460106384
OPT-1.3B,RTX 5060,9,value,2,-0.0010965081816869426,-0.001096341204135976,1.6697755096661826e-07,0.0010965081816869426
OPT-1.3B,RTX 5060,10,value,0,-1.0097206061613475,1.0215467087765957,2.031267314937943,1.0215467087765957
OPT-1.3B,RTX 5060,10,value,1,-0.02717850056100399,0.03226974162649601,0.0594482421875,0.03226974162649601
OPT-1.3B,RTX 5060,10,value,2,0.002517067794258713,0.00251725971276033,1.9191850161685842e-07,0.00251725971276033
OPT-1.3B,RTX 5060,11,value,0,-1.1364624889184398,1.1444135084219857,2.2808759973404253,1.1444135084219857
OPT-1.3B,RTX 5060,11,value,1,-0.034765040620844415,0.03320983453845301,0.06797487515929743,0.034765040620844415
OPT-1.3B,RTX 5060,11,value,2,-0.0007485891064853533,-0.0007482830514299109,3.0605505544245744e-07,0.0007485891064853533
OPT-1.3B,RTX 5060,12,value,0,-1.1915101396276595,1.2079593306737588,2.399469470301418,1.2079593306737588
OPT-1.3B,RTX 5060,12,value,1,-0.036014421611812945,0.0355505977116578,0.07156501932347074,0.036014421611812945
OPT-1.3B,RTX 5060,12,value,2,-0.00022766311117943298,-0.00022742765169617133,2.35459483261647e-07,0.00022766311117943298
OPT-1.3B,RTX 5060,13,value,0,-1.2845052083333333,1.301418439716312,2.5859236480496453,1.301418439716312
OPT-1.3B,RTX 5060,13,value,1,-0.03839262833832004,0.04042345412234043,0.07881608246066046,0.04042345412234043
OPT-1.3B,RTX 5060,13,value,2,0.0010008883814439705,0.0010012198001780408,3.3141873407032015e-07,0.0010012198001780408
OPT-1.3B,RTX 5060,14,value,0,-1.402710826684397,1.4279352282801419,2.830646054964539,1.4279352282801419
OPT-1.3B,RTX 5060,14,value,1,-0.04220407905308067,0.0477929081477172,0.08999698720079788,0.0477929081477172
OPT-1.3B,RTX 5060,14,value,2,0.00272729126274163,0.0027277118770788747,4.2061433724481165e-07,0.0027277118770788747
OPT-1.3B,RTX 5060,15,value,0,-1.738191212322695,1.7053136081560283,3.443504820478723,1.738191212322695
OPT-1.3B,RTX 5060,15,value,1,-0.059138304798315604,0.048169724484707445,0.10730802928302305,0.059138304798315604
OPT-1.3B,RTX 5060,15,value,2,-0.005325035000523777,-0.005324620727106189,4.1427341758784597e-07,0.005325035000523777
OPT-1.3B,RTX 5060,16,value,0,-1.7427000221631206,1.7496952570921986,3.4923952792553195,1.7496952570921986
